VHI_M,fid,month,season,year
0.414999992,332,1,Dry,2021
0.495000005,333,1,Dry,2021
0.444999993,334,1,Dry,2021
0.455000013,335,1,Dry,2021
0.469999999,345,1,Dry,2021
0.465000004,346,1,Dry,2021
0.5,347,1,Dry,2021
0.455000013,348,1,Dry,2021
0.419999987,349,1,Dry,2021
0.49000001,350,1,Dry,2021
0.38499999,9,1,Dry,2021
0.340000004,195,1,Dry,2021
0.61500001,196,1,Dry,2021
0.400000006,197,1,Dry,2021
0.409999996,198,1,Dry,2021
0.535000026,199,1,Dry,2021
0.379999995,200,1,Dry,2021
0.310000002,201,1,Dry,2021
0.435000002,202,1,Dry,2021
0.389999986,311,1,Dry,2021
0.439999998,312,1,Dry,2021
0.465000004,313,1,Dry,2021
0.460000008,314,1,Dry,2021
0.469999999,315,1,Dry,2021
0.430000007,496,1,Dry,2021
0.495000005,497,1,Dry,2021
0.430000007,130,1,Dry,2021
0.449999988,161,1,Dry,2021
0.455000013,162,1,Dry,2021
0.495000005,163,1,Dry,2021
0.435000002,164,1,Dry,2021
0.519999981,165,1,Dry,2021
0.395000011,336,1,Dry,2021
0.425000012,337,1,Dry,2021
0.49000001,338,1,Dry,2021
0.455000013,339,1,Dry,2021
0.439999998,340,1,Dry,2021
0.495000005,370,1,Dry,2021
0.405000001,371,1,Dry,2021
0.449999988,372,1,Dry,2021
0.479999989,498,1,Dry,2021
0.474999994,499,1,Dry,2021
0.36500001,500,1,Dry,2021
0.529999971,147,1,Dry,2021
0.425000012,148,1,Dry,2021
0.405000001,149,1,Dry,2021
0.349999994,150,1,Dry,2021
0.460000008,151,1,Dry,2021
0.600000024,152,1,Dry,2021
0.354999989,153,1,Dry,2021
0.340000004,170,1,Dry,2021
0.465000004,381,1,Dry,2021
0.425000012,382,1,Dry,2021
0.469999999,383,1,Dry,2021
0.485000014,495,1,Dry,2021
0.485000014,526,1,Dry,2021
0.389999986,527,1,Dry,2021
0.395000011,528,1,Dry,2021
0.400000006,529,1,Dry,2021
0.444999993,530,1,Dry,2021
0.444999993,89,1,Dry,2021
0.405000001,90,1,Dry,2021
0.439999998,396,1,Dry,2021
0.395000011,397,1,Dry,2021
0.349999994,398,1,Dry,2021
0.395000011,399,1,Dry,2021
0.400000006,55,1,Dry,2021
0.395000011,220,1,Dry,2021
0.414999992,221,1,Dry,2021
0.36500001,222,1,Dry,2021
0.485000014,259,1,Dry,2021
0.49000001,260,1,Dry,2021
0.430000007,261,1,Dry,2021
0.400000006,262,1,Dry,2021
0.49000001,11,1,Dry,2021
0.435000002,178,1,Dry,2021
0.449999988,179,1,Dry,2021
0.419999987,180,1,Dry,2021
0.430000007,203,1,Dry,2021
0.474999994,211,1,Dry,2021
0.425000012,212,1,Dry,2021
0.469999999,213,1,Dry,2021
0.545000017,214,1,Dry,2021
0.375,189,1,Dry,2021
0.349999994,190,1,Dry,2021
0.375,191,1,Dry,2021
0.340000004,242,1,Dry,2021
0.310000002,257,1,Dry,2021
0.419999987,258,1,Dry,2021
0.419999987,304,1,Dry,2021
0.370000005,305,1,Dry,2021
0.405000001,306,1,Dry,2021
0.465000004,102,1,Dry,2021
0.439999998,103,1,Dry,2021
0.414999992,104,1,Dry,2021
0.405000001,105,1,Dry,2021
0.414999992,266,1,Dry,2021
0.444999993,450,1,Dry,2021
0.430000007,451,1,Dry,2021
0.284999996,276,1,Dry,2021
0.449999988,277,1,Dry,2021
0.444999993,278,1,Dry,2021
0.370000005,279,1,Dry,2021
0.405000001,280,1,Dry,2021
0.430000007,360,1,Dry,2021
0.414999992,361,1,Dry,2021
0.344999999,362,1,Dry,2021
0.395000011,363,1,Dry,2021
0.305000007,364,1,Dry,2021
0.344999999,365,1,Dry,2021
0.395000011,366,1,Dry,2021
0.474999994,204,1,Dry,2021
0.49000001,236,1,Dry,2021
0.430000007,237,1,Dry,2021
0.425000012,238,1,Dry,2021
0.49000001,239,1,Dry,2021
0.430000007,240,1,Dry,2021
0.469999999,327,1,Dry,2021
0.469999999,328,1,Dry,2021
0.435000002,329,1,Dry,2021
0.460000008,351,1,Dry,2021
0.49000001,352,1,Dry,2021
0.430000007,353,1,Dry,2021
0.50999999,354,1,Dry,2021
0.460000008,355,1,Dry,2021
0.389999986,17,1,Dry,2021
0.444999993,290,1,Dry,2021
0.395000011,291,1,Dry,2021
0.414999992,292,1,Dry,2021
0.405000001,411,1,Dry,2021
0.38499999,412,1,Dry,2021
0.395000011,413,1,Dry,2021
0.395000011,414,1,Dry,2021
0.389999986,415,1,Dry,2021
0.36500001,416,1,Dry,2021
0.414999992,535,1,Dry,2021
0.38499999,536,1,Dry,2021
0.395000011,537,1,Dry,2021
0.36500001,538,1,Dry,2021
0.36500001,539,1,Dry,2021
0.5,5,1,Dry,2021
0.395000011,41,1,Dry,2021
0.444999993,42,1,Dry,2021
0.495000005,43,1,Dry,2021
0.370000005,44,1,Dry,2021
0.435000002,168,1,Dry,2021
0.449999988,169,1,Dry,2021
0.449999988,13,1,Dry,2021
0.449999988,97,1,Dry,2021
0.455000013,98,1,Dry,2021
0.524999976,99,1,Dry,2021
0.479999989,100,1,Dry,2021
0.469999999,101,1,Dry,2021
0.405000001,18,1,Dry,2021
0.375,52,1,Dry,2021
0.409999996,53,1,Dry,2021
0.319999993,436,1,Dry,2021
0.284999996,437,1,Dry,2021
0.335000008,438,1,Dry,2021
0.574999988,6,1,Dry,2021
0.629999995,131,1,Dry,2021
0.629999995,132,1,Dry,2021
0.61500001,133,1,Dry,2021
0.665000021,134,1,Dry,2021
0.644999981,135,1,Dry,2021
0.555000007,136,1,Dry,2021
0.61500001,269,1,Dry,2021
0.680000007,270,1,Dry,2021
0.654999971,271,1,Dry,2021
0.61500001,272,1,Dry,2021
0.639999986,273,1,Dry,2021
0.555000007,274,1,Dry,2021
0.654999971,465,1,Dry,2021
0.625,466,1,Dry,2021
0.540000021,10,1,Dry,2021
0.579999983,159,1,Dry,2021
0.595000029,160,1,Dry,2021
0.660000026,341,1,Dry,2021
0.529999971,342,1,Dry,2021
0.600000024,343,1,Dry,2021
0.644999981,344,1,Dry,2021
0.629999995,377,1,Dry,2021
0.455000013,378,1,Dry,2021
0.550000012,379,1,Dry,2021
0.465000004,380,1,Dry,2021
0.610000014,16,1,Dry,2021
0.61500001,65,1,Dry,2021
0.574999988,66,1,Dry,2021
0.61500001,67,1,Dry,2021
0.595000029,68,1,Dry,2021
0.625,403,1,Dry,2021
0.555000007,404,1,Dry,2021
0.574999988,405,1,Dry,2021
0.644999981,467,1,Dry,2021
0.535000026,468,1,Dry,2021
0.514999986,469,1,Dry,2021
0.61500001,470,1,Dry,2021
0.479999989,471,1,Dry,2021
0.540000021,472,1,Dry,2021
0.555000007,106,1,Dry,2021
0.469999999,107,1,Dry,2021
0.540000021,108,1,Dry,2021
0.535000026,109,1,Dry,2021
0.63499999,110,1,Dry,2021
0.610000014,111,1,Dry,2021
0.629999995,112,1,Dry,2021
0.504999995,215,1,Dry,2021
0.564999998,316,1,Dry,2021
0.564999998,317,1,Dry,2021
0.465000004,318,1,Dry,2021
0.414999992,319,1,Dry,2021
0.469999999,320,1,Dry,2021
0.49000001,321,1,Dry,2021
0.584999979,445,1,Dry,2021
0.639999986,446,1,Dry,2021
0.560000002,447,1,Dry,2021
0.574999988,448,1,Dry,2021
0.550000012,449,1,Dry,2021
0.649999976,7,1,Dry,2021
0.595000029,45,1,Dry,2021
0.555000007,46,1,Dry,2021
0.694999993,47,1,Dry,2021
0.555000007,48,1,Dry,2021
0.639999986,156,1,Dry,2021
0.555000007,157,1,Dry,2021
0.665000021,158,1,Dry,2021
0.644999981,439,1,Dry,2021
0.610000014,440,1,Dry,2021
0.61500001,441,1,Dry,2021
0.555000007,442,1,Dry,2021
0.595000029,443,1,Dry,2021
0.639999986,444,1,Dry,2021
0.629999995,546,1,Dry,2021
0.564999998,547,1,Dry,2021
0.63499999,548,1,Dry,2021
0.625,549,1,Dry,2021
0.574999988,550,1,Dry,2021
0.564999998,84,1,Dry,2021
0.605000019,85,1,Dry,2021
0.595000029,86,1,Dry,2021
0.564999998,87,1,Dry,2021
0.600000024,88,1,Dry,2021
0.574999988,223,1,Dry,2021
0.649999976,224,1,Dry,2021
0.579999983,225,1,Dry,2021
0.670000017,226,1,Dry,2021
0.595000029,256,1,Dry,2021
0.564999998,285,1,Dry,2021
0.584999979,286,1,Dry,2021
0.625,287,1,Dry,2021
0.625,288,1,Dry,2021
0.529999971,453,1,Dry,2021
0.589999974,454,1,Dry,2021
0.629999995,455,1,Dry,2021
0.579999983,4,1,Dry,2021
0.5,28,1,Dry,2021
0.564999998,391,1,Dry,2021
0.375,392,1,Dry,2021
0.469999999,393,1,Dry,2021
0.595000029,394,1,Dry,2021
0.519999981,395,1,Dry,2021
0.564999998,400,1,Dry,2021
0.560000002,401,1,Dry,2021
0.639999986,543,1,Dry,2021
0.449999988,544,1,Dry,2021
0.425000012,545,1,Dry,2021
0.654999971,8,1,Dry,2021
0.63499999,12,1,Dry,2021
0.519999981,19,1,Dry,2021
0.469999999,20,1,Dry,2021
0.389999986,21,1,Dry,2021
0.479999989,22,1,Dry,2021
0.430000007,23,1,Dry,2021
0.50999999,388,1,Dry,2021
0.524999976,389,1,Dry,2021
0.479999989,390,1,Dry,2021
0.469999999,531,1,Dry,2021
0.610000014,532,1,Dry,2021
0.460000008,533,1,Dry,2021
0.469999999,534,1,Dry,2021
0.395000011,91,1,Dry,2021
0.564999998,281,1,Dry,2021
0.444999993,282,1,Dry,2021
0.610000014,283,1,Dry,2021
0.460000008,284,1,Dry,2021
0.569999993,322,1,Dry,2021
0.524999976,323,1,Dry,2021
0.542912298,324,1,Dry,2021
0.694999993,325,1,Dry,2021
0.567701876,326,1,Dry,2021
0.349999994,432,1,Dry,2021
0.675000012,76,1,Dry,2021
0.654999971,77,1,Dry,2021
0.550000012,78,1,Dry,2021
0.5,79,1,Dry,2021
0.474999994,80,1,Dry,2021
0.660000026,81,1,Dry,2021
0.529999971,82,1,Dry,2021
0.435000002,83,1,Dry,2021
0.439999998,171,1,Dry,2021
0.50999999,172,1,Dry,2021
0.519999981,173,1,Dry,2021
0.550000012,174,1,Dry,2021
0.349999994,175,1,Dry,2021
0.36500001,176,1,Dry,2021
0.535000026,177,1,Dry,2021
0.314999998,456,1,Dry,2021
0.540000021,457,1,Dry,2021
0.479999989,458,1,Dry,2021
0.704999983,459,1,Dry,2021
0.620000005,523,1,Dry,2021
0.584999979,524,1,Dry,2021
0.589999974,525,1,Dry,2021
0.584999979,428,1,Dry,2021
0.569999993,429,1,Dry,2021
0.560000002,430,1,Dry,2021
0.485000014,431,1,Dry,2021
0.49000001,452,1,Dry,2021
0.545000017,56,1,Dry,2021
0.560000002,57,1,Dry,2021
0.50999999,58,1,Dry,2021
0.524999976,59,1,Dry,2021
0.540000021,60,1,Dry,2021
0.61500001,61,1,Dry,2021
0.610000014,62,1,Dry,2021
0.564999998,63,1,Dry,2021
0.61500001,64,1,Dry,2021
0.5,69,1,Dry,2021
0.569999993,119,1,Dry,2021
0.579999983,120,1,Dry,2021
0.529999971,121,1,Dry,2021
0.5,122,1,Dry,2021
0.254999995,140,1,Dry,2021
0.550000012,141,1,Dry,2021
0.600000024,142,1,Dry,2021
0.644999981,143,1,Dry,2021
0.709999979,144,1,Dry,2021
0.605000019,145,1,Dry,2021
0.675000012,146,1,Dry,2021
0.545000017,182,1,Dry,2021
0.639999986,205,1,Dry,2021
0.639999986,206,1,Dry,2021
0.61500001,478,1,Dry,2021
0.654999971,479,1,Dry,2021
0.610000014,480,1,Dry,2021
0.689999998,481,1,Dry,2021
0.709999979,482,1,Dry,2021
0.694999993,123,1,Dry,2021
0.670000017,124,1,Dry,2021
0.649999976,125,1,Dry,2021
0.699999988,126,1,Dry,2021
0.63499999,127,1,Dry,2021
0.709999979,128,1,Dry,2021
0.720000029,129,1,Dry,2021
0.589999974,137,1,Dry,2021
0.670000017,138,1,Dry,2021
0.649999976,139,1,Dry,2021
0.600000024,154,1,Dry,2021
0.569999993,155,1,Dry,2021
0.725000024,275,1,Dry,2021
0.435000002,473,1,Dry,2021
0.529999971,2,1,Dry,2021
0.310000002,49,1,Dry,2021
0.324999988,50,1,Dry,2021
0.379999995,51,1,Dry,2021
0.370000005,216,1,Dry,2021
0.375,217,1,Dry,2021
0.340000004,218,1,Dry,2021
0.414999992,219,1,Dry,2021
0.354999989,307,1,Dry,2021
0.5,308,1,Dry,2021
0.379999995,309,1,Dry,2021
0.439999998,310,1,Dry,2021
0.324999988,32,1,Dry,2021
0.474999994,33,1,Dry,2021
0.349999994,34,1,Dry,2021
0.294999987,70,1,Dry,2021
0.340000004,71,1,Dry,2021
0.300000012,72,1,Dry,2021
0.280000001,73,1,Dry,2021
0.344999999,115,1,Dry,2021
0.419999987,116,1,Dry,2021
0.439999998,117,1,Dry,2021
0.419999987,118,1,Dry,2021
0.400000006,181,1,Dry,2021
0.439999998,233,1,Dry,2021
0.314999998,234,1,Dry,2021
0.305000007,235,1,Dry,2021
0.465000004,35,1,Dry,2021
0.36500001,36,1,Dry,2021
0.38499999,37,1,Dry,2021
0.354999989,38,1,Dry,2021
0.379999995,241,1,Dry,2021
0.280000001,245,1,Dry,2021
0.330000013,246,1,Dry,2021
0.400000006,247,1,Dry,2021
0.430000007,248,1,Dry,2021
0.335000008,249,1,Dry,2021
0.419999987,1,1,Dry,2021
0.310000002,243,1,Dry,2021
0.314999998,244,1,Dry,2021
0.50999999,263,1,Dry,2021
0.395000011,264,1,Dry,2021
0.444999993,265,1,Dry,2021
0.524999976,301,1,Dry,2021
0.540000021,302,1,Dry,2021
0.460000008,303,1,Dry,2021
0.449999988,166,1,Dry,2021
0.405000001,167,1,Dry,2021
0.474999994,194,1,Dry,2021
0.5,289,1,Dry,2021
0.435000002,474,1,Dry,2021
0.38499999,475,1,Dry,2021
0.36500001,476,1,Dry,2021
0.38499999,477,1,Dry,2021
0.439999998,483,1,Dry,2021
0.474999994,484,1,Dry,2021
0.455000013,485,1,Dry,2021
0.430000007,486,1,Dry,2021
0.439999998,487,1,Dry,2021
0.435000002,488,1,Dry,2021
0.49000001,489,1,Dry,2021
0.469999999,490,1,Dry,2021
0.375,227,1,Dry,2021
0.425000012,228,1,Dry,2021
0.529999971,229,1,Dry,2021
0.519999981,230,1,Dry,2021
0.344999999,231,1,Dry,2021
0.569999993,232,1,Dry,2021
0.419999987,384,1,Dry,2021
0.430000007,385,1,Dry,2021
0.439999998,516,1,Dry,2021
0.419999987,517,1,Dry,2021
0.419999987,518,1,Dry,2021
0.430000007,519,1,Dry,2021
0.430000007,520,1,Dry,2021
0.314999998,521,1,Dry,2021
0.49000001,522,1,Dry,2021
0.435000002,15,1,Dry,2021
0.579999983,293,1,Dry,2021
0.535000026,294,1,Dry,2021
0.469999999,295,1,Dry,2021
0.49000001,296,1,Dry,2021
0.465000004,297,1,Dry,2021
0.479999989,298,1,Dry,2021
0.495000005,299,1,Dry,2021
0.495000005,300,1,Dry,2021
0.49000001,373,1,Dry,2021
0.540000021,374,1,Dry,2021
0.479999989,375,1,Dry,2021
0.504999995,376,1,Dry,2021
0.419999987,406,1,Dry,2021
0.430000007,407,1,Dry,2021
0.529999971,408,1,Dry,2021
0.425000012,409,1,Dry,2021
0.455000013,410,1,Dry,2021
0.589999974,54,1,Dry,2021
0.574999988,207,1,Dry,2021
0.540000021,208,1,Dry,2021
0.595000029,209,1,Dry,2021
0.535000026,210,1,Dry,2021
0.540000021,491,1,Dry,2021
0.595000029,492,1,Dry,2021
0.610000014,493,1,Dry,2021
0.654999971,494,1,Dry,2021
0.555000007,501,1,Dry,2021
0.569999993,502,1,Dry,2021
0.610000014,503,1,Dry,2021
0.535000026,504,1,Dry,2021
0.595000029,505,1,Dry,2021
0.560000002,506,1,Dry,2021
0.569999993,507,1,Dry,2021
0.579999983,508,1,Dry,2021
0.540000021,509,1,Dry,2021
0.63499999,510,1,Dry,2021
0.545000017,74,1,Dry,2021
0.504999995,75,1,Dry,2021
0.540000021,254,1,Dry,2021
0.560000002,255,1,Dry,2021
0.540000021,402,1,Dry,2021
0.569999993,367,1,Dry,2021
0.574999988,368,1,Dry,2021
0.564999998,369,1,Dry,2021
0.560000002,386,1,Dry,2021
0.629999995,387,1,Dry,2021
0.569999993,553,1,Dry,2021
0.465000004,24,2,Dry,2021
0.414999992,25,2,Dry,2021
0.495000005,26,2,Dry,2021
0.465000004,27,2,Dry,2021
0.540000021,92,2,Dry,2021
0.419999987,93,2,Dry,2021
,94,2,Dry,2021
0.5,95,2,Dry,2021
0.564999998,96,2,Dry,2021
0.574999988,183,2,Dry,2021
0.689999998,184,2,Dry,2021
0.449999988,185,2,Dry,2021
0.545000017,186,2,Dry,2021
0.61500001,187,2,Dry,2021
0.535000026,188,2,Dry,2021
0.74000001,417,2,Dry,2021
0.670000017,418,2,Dry,2021
0.665000021,419,2,Dry,2021
0.469999999,420,2,Dry,2021
0.36500001,460,2,Dry,2021
0.50999999,461,2,Dry,2021
0.460000008,540,2,Dry,2021
0.545000017,541,2,Dry,2021
0.49000001,542,2,Dry,2021
0.564999998,192,2,Dry,2021
0.629999995,193,2,Dry,2021
0.569999993,267,2,Dry,2021
0.540000021,268,2,Dry,2021
0.545000017,551,2,Dry,2021
0.649999976,552,2,Dry,2021
0.529999971,421,2,Dry,2021
0.49000001,422,2,Dry,2021
0.50999999,423,2,Dry,2021
0.535000026,424,2,Dry,2021
0.49000001,425,2,Dry,2021
0.444999993,426,2,Dry,2021
0.495000005,427,2,Dry,2021
0.720000029,511,2,Dry,2021
0.595000029,512,2,Dry,2021
0.814999998,513,2,Dry,2021
0.564999998,514,2,Dry,2021
0.564999998,515,2,Dry,2021
0.569999993,3,2,Dry,2021
0.639999986,14,2,Dry,2021
0.519999981,40,2,Dry,2021
0.545000017,113,2,Dry,2021
0.535000026,114,2,Dry,2021
0.50999999,433,2,Dry,2021
0.61500001,434,2,Dry,2021
0.545000017,435,2,Dry,2021
0.584999979,462,2,Dry,2021
0.550000012,463,2,Dry,2021
0.574999988,464,2,Dry,2021
0.449999988,29,2,Dry,2021
0.465000004,30,2,Dry,2021
0.439999998,31,2,Dry,2021
0.435000002,39,2,Dry,2021
0.479999989,250,2,Dry,2021
0.465000004,251,2,Dry,2021
0.465000004,252,2,Dry,2021
0.460000008,253,2,Dry,2021
0.444999993,356,2,Dry,2021
0.449999988,357,2,Dry,2021
0.460000008,358,2,Dry,2021
0.485000014,359,2,Dry,2021
0.479999989,330,2,Dry,2021
0.444999993,331,2,Dry,2021
0.485000014,332,2,Dry,2021
0.49000001,333,2,Dry,2021
0.49000001,334,2,Dry,2021
0.479999989,335,2,Dry,2021
0.524999976,345,2,Dry,2021
0.514999986,346,2,Dry,2021
0.514999986,347,2,Dry,2021
0.529999971,348,2,Dry,2021
0.495000005,349,2,Dry,2021
0.49000001,350,2,Dry,2021
0.469999999,9,2,Dry,2021
0.465000004,195,2,Dry,2021
0.50999999,196,2,Dry,2021
0.524999976,197,2,Dry,2021
0.495000005,198,2,Dry,2021
0.524999976,199,2,Dry,2021
0.504999995,200,2,Dry,2021
0.444999993,201,2,Dry,2021
0.50999999,202,2,Dry,2021
0.49000001,311,2,Dry,2021
0.504999995,312,2,Dry,2021
0.479999989,313,2,Dry,2021
0.469999999,314,2,Dry,2021
0.50999999,315,2,Dry,2021
0.469999999,496,2,Dry,2021
0.5,497,2,Dry,2021
0.474999994,130,2,Dry,2021
0.595000029,161,2,Dry,2021
0.550000012,162,2,Dry,2021
0.644999981,163,2,Dry,2021
0.519999981,164,2,Dry,2021
0.649999976,165,2,Dry,2021
0.444999993,336,2,Dry,2021
0.439999998,337,2,Dry,2021
0.535000026,338,2,Dry,2021
0.504999995,339,2,Dry,2021
0.474999994,340,2,Dry,2021
0.439999998,370,2,Dry,2021
0.49000001,371,2,Dry,2021
0.469999999,372,2,Dry,2021
0.479999989,498,2,Dry,2021
0.540000021,499,2,Dry,2021
0.430000007,500,2,Dry,2021
0.519999981,147,2,Dry,2021
0.519999981,148,2,Dry,2021
0.524999976,149,2,Dry,2021
0.545000017,150,2,Dry,2021
0.485000014,151,2,Dry,2021
0.605000019,152,2,Dry,2021
0.555000007,153,2,Dry,2021
0.474999994,170,2,Dry,2021
0.620000005,381,2,Dry,2021
0.574999988,382,2,Dry,2021
0.63499999,383,2,Dry,2021
0.574999988,495,2,Dry,2021
0.574999988,526,2,Dry,2021
0.449999988,527,2,Dry,2021
0.405000001,528,2,Dry,2021
0.50999999,529,2,Dry,2021
0.560000002,530,2,Dry,2021
0.474999994,89,2,Dry,2021
0.485000014,90,2,Dry,2021
0.36500001,396,2,Dry,2021
0.49000001,397,2,Dry,2021
0.425000012,398,2,Dry,2021
0.439999998,399,2,Dry,2021
0.465000004,55,2,Dry,2021
0.444999993,220,2,Dry,2021
0.449999988,221,2,Dry,2021
0.455000013,222,2,Dry,2021
0.479999989,259,2,Dry,2021
0.474999994,260,2,Dry,2021
0.435000002,261,2,Dry,2021
0.375,262,2,Dry,2021
0.550000012,11,2,Dry,2021
0.49000001,178,2,Dry,2021
0.5,179,2,Dry,2021
0.444999993,180,2,Dry,2021
0.474999994,203,2,Dry,2021
0.495000005,211,2,Dry,2021
0.474999994,212,2,Dry,2021
0.49000001,213,2,Dry,2021
0.579999983,214,2,Dry,2021
0.5,189,2,Dry,2021
0.5,190,2,Dry,2021
0.514999986,191,2,Dry,2021
0.535000026,242,2,Dry,2021
0.460000008,257,2,Dry,2021
0.50999999,258,2,Dry,2021
0.519999981,304,2,Dry,2021
0.5,305,2,Dry,2021
0.5,306,2,Dry,2021
0.545000017,102,2,Dry,2021
0.514999986,103,2,Dry,2021
0.540000021,104,2,Dry,2021
0.545000017,105,2,Dry,2021
0.460000008,266,2,Dry,2021
0.485000014,450,2,Dry,2021
0.49000001,451,2,Dry,2021
0.405000001,276,2,Dry,2021
0.474999994,277,2,Dry,2021
0.469999999,278,2,Dry,2021
0.504999995,279,2,Dry,2021
0.469999999,280,2,Dry,2021
0.540000021,360,2,Dry,2021
0.524999976,361,2,Dry,2021
0.469999999,362,2,Dry,2021
0.50999999,363,2,Dry,2021
0.460000008,364,2,Dry,2021
0.425000012,365,2,Dry,2021
0.5,366,2,Dry,2021
0.504999995,204,2,Dry,2021
0.469999999,236,2,Dry,2021
0.430000007,237,2,Dry,2021
0.460000008,238,2,Dry,2021
0.449999988,239,2,Dry,2021
0.435000002,240,2,Dry,2021
0.474999994,327,2,Dry,2021
0.455000013,328,2,Dry,2021
0.469999999,329,2,Dry,2021
0.469999999,351,2,Dry,2021
0.495000005,352,2,Dry,2021
0.444999993,353,2,Dry,2021
0.444999993,354,2,Dry,2021
0.514999986,355,2,Dry,2021
0.405000001,17,2,Dry,2021
0.449999988,290,2,Dry,2021
0.409999996,291,2,Dry,2021
0.435000002,292,2,Dry,2021
0.425000012,411,2,Dry,2021
0.469999999,412,2,Dry,2021
0.449999988,413,2,Dry,2021
0.460000008,414,2,Dry,2021
0.405000001,415,2,Dry,2021
0.469999999,416,2,Dry,2021
0.50999999,535,2,Dry,2021
0.405000001,536,2,Dry,2021
0.479999989,537,2,Dry,2021
0.5,538,2,Dry,2021
0.439999998,539,2,Dry,2021
0.49000001,5,2,Dry,2021
0.449999988,41,2,Dry,2021
0.49000001,42,2,Dry,2021
0.439999998,43,2,Dry,2021
0.439999998,44,2,Dry,2021
0.550000012,168,2,Dry,2021
0.535000026,169,2,Dry,2021
0.469999999,13,2,Dry,2021
0.395000011,97,2,Dry,2021
0.485000014,98,2,Dry,2021
0.524999976,99,2,Dry,2021
0.455000013,100,2,Dry,2021
0.479999989,101,2,Dry,2021
0.529999971,18,2,Dry,2021
0.469999999,52,2,Dry,2021
0.444999993,53,2,Dry,2021
0.474999994,436,2,Dry,2021
0.444999993,437,2,Dry,2021
0.460000008,438,2,Dry,2021
0.504999995,6,2,Dry,2021
0.63499999,131,2,Dry,2021
0.620000005,132,2,Dry,2021
0.685000002,133,2,Dry,2021
0.595000029,134,2,Dry,2021
0.675000012,135,2,Dry,2021
0.595000029,136,2,Dry,2021
0.574999988,269,2,Dry,2021
0.589999974,270,2,Dry,2021
0.535000026,271,2,Dry,2021
0.540000021,272,2,Dry,2021
0.560000002,273,2,Dry,2021
0.5,274,2,Dry,2021
0.63499999,465,2,Dry,2021
0.595000029,466,2,Dry,2021
0.479999989,10,2,Dry,2021
0.485000014,159,2,Dry,2021
0.560000002,160,2,Dry,2021
0.550000012,341,2,Dry,2021
0.49000001,342,2,Dry,2021
0.455000013,343,2,Dry,2021
0.495000005,344,2,Dry,2021
0.574999988,377,2,Dry,2021
0.430000007,378,2,Dry,2021
0.540000021,379,2,Dry,2021
0.389999986,380,2,Dry,2021
0.529999971,16,2,Dry,2021
0.444999993,65,2,Dry,2021
0.529999971,66,2,Dry,2021
0.514999986,67,2,Dry,2021
0.5,68,2,Dry,2021
0.574999988,403,2,Dry,2021
0.519999981,404,2,Dry,2021
0.540000021,405,2,Dry,2021
0.495000005,467,2,Dry,2021
0.49000001,468,2,Dry,2021
0.479999989,469,2,Dry,2021
0.50999999,470,2,Dry,2021
0.5,471,2,Dry,2021
0.469999999,472,2,Dry,2021
0.569999993,106,2,Dry,2021
0.535000026,107,2,Dry,2021
0.514999986,108,2,Dry,2021
0.555000007,109,2,Dry,2021
0.579999983,110,2,Dry,2021
0.600000024,111,2,Dry,2021
0.560000002,112,2,Dry,2021
