fid,REGION,COMMUNE,AEZclass,AEZclassname,popsum2021,popmean2021,popsum2022,popmean2022,popsum2023,popmean2023,popsum2024,popmean2024,Rainfed_percentage,Wetland_percentage,Bare_percentage,Impervious_percentage,Water_percentage,Irrigated_percentage,Forest_percentage,Shrubland_percentage,Grassland_percentage
47,LOUGA,THIARNY,53,Desert/Arid climate,10948.52305,1.162386989,11198.3338,1.185887303,11289.90902,1.191924516,11617.6749,1.220215829,0.453,0,0,0,0,0,0.003,0.076,0.467
48,LOUGA,THIEL,2,Tropics lowland; semi-arid with soil/terrain limitations,19573.46515,1.090443741,20214.65429,1.123848018,19644.84083,1.090410792,20123.69828,1.112790217,0.077,0,0,0,0,0,0.003,0.344,0.575
49,TAMBACOUNDA,BELE,2,Tropics lowland; semi-arid with soil/terrain limitations,20493.76917,5.948844462,20891.7554,6.045068114,20651.56433,5.925843422,21651.72067,6.189742903,0.003,0,0,0.001,0,0,0.001,0.796,0.198
50,TAMBACOUNDA,SINTHIOU FISSA,50,Land with severe soil/terrain limitations,10734.70354,3.821539174,10506.74673,3.736396419,10084.73563,3.581227142,10940.1609,3.842697893,0.005,0,0,0.001,0,0,0.005,0.895,0.094
51,TAMBACOUNDA,KIDIRA,2,Tropics lowland; semi-arid with soil/terrain limitations,18430.00499,17.09647958,18926.86327,17.50866167,21121.43063,19.46675634,20118.49702,18.37305664,0.006,0.002,0.004,0.059,0.001,0,0.003,0.198,0.728
52,KEDOUGOU,BEMBOU,2,Tropics lowland; semi-arid with soil/terrain limitations,26425.05632,4.818573362,27976.25224,5.068161637,28549.90031,5.149693419,30259.03792,5.419852752,0,0,0,0.001,0.001,0,0.529,0.466,0.003
53,KEDOUGOU,MEDINA BAFFE,2,Tropics lowland; semi-arid with soil/terrain limitations,9632.182906,3.551689862,10013.973,3.691106892,10372.49728,3.799449555,11510.45467,4.168944102,0,0,0,0,0.001,0,0.678,0.318,0.002
54,ZIGUINCHOR,BIGNONA,2,Tropics lowland; semi-arid with soil/terrain limitations,17148.22389,20.00959614,16622.49658,19.39614537,17151.86277,19.99051604,16001.99854,18.65034795,0.005,0,0,0.589,0,0,0.285,0.103,0.018
55,KAFFRINE,BIRKELANE,2,Tropics lowland; semi-arid with soil/terrain limitations,8000.168433,13.96189953,7893.819516,13.77629933,8600.032513,14.90473572,8186.990433,13.99485544,0.555,0,0,0.225,0,0,0,0.106,0.114
56,SEDHIOU,BOGHAL,50,Land with severe soil/terrain limitations,19422.11336,5.09900587,20606.21502,5.334251882,21071.56946,5.416855902,21997.12226,5.646078608,0.066,0,0,0.007,0,0,0.703,0.219,0.005
57,SEDHIOU,DJINANY,50,Land with severe soil/terrain limitations,5363.194917,5.176829071,5554.6404,5.250132703,5830.583414,5.500550391,6220.750132,5.8686322,0.039,0.011,0,0.004,0.001,0,0.808,0.092,0.043
58,SEDHIOU,NDIAMACOUTA,50,Land with severe soil/terrain limitations,6647.408291,8.758113691,6798.104194,8.909704056,7518.962077,9.8415734,7321.445562,9.570517074,0.094,0,0,0.014,0,0,0.488,0.391,0.013
59,SEDHIOU,NDIAMALATHIEL,50,Land with severe soil/terrain limitations,22395.21027,4.744747939,22624.15164,4.75197472,22282.19101,4.66349749,24027.24966,5.026621267,0.09,0.004,0,0.006,0.001,0,0.66,0.224,0.014
60,SEDHIOU,TANKON,50,Land with severe soil/terrain limitations,26585.9023,2.757873682,26537.25065,2.74428652,26262.82281,2.708624465,27912.06537,2.870135257,0.075,0,0,0.003,0,0,0.647,0.269,0.005
61,SEDHIOU,BONA,2,Tropics lowland; semi-arid with soil/terrain limitations,11845.81701,5.896374818,12326.28478,6.078049692,12292.31534,5.94118673,12942.9892,6.175090268,0.011,0.002,0,0.004,0.051,0,0.841,0.045,0.046
62,SEDHIOU,DIACOUNDA,2,Tropics lowland; semi-arid with soil/terrain limitations,11783.89458,5.161583258,12147.33413,5.320777107,12502.98739,5.462205062,13032.13736,5.571670527,0.04,0.007,0,0.004,0.044,0,0.774,0.062,0.069
63,SEDHIOU,INOR,2,Tropics lowland; semi-arid with soil/terrain limitations,13370.04702,4.957377464,14092.73245,5.217598093,14525.48325,5.332409416,15095.21163,5.473245696,0.008,0.001,0,0.003,0.03,0,0.888,0.041,0.028
64,SEDHIOU,KANDION MANGANA,2,Tropics lowland; semi-arid with soil/terrain limitations,3510.315954,3.939748546,3524.47264,3.877307635,3474.319052,3.756020596,3815.186573,4.106767033,0.014,0,0,0.002,0,0,0.959,0.021,0.003
65,KOLDA,BONCONTO,50,Land with severe soil/terrain limitations,14725.19091,3.676701851,15495.84863,3.861412566,15738.63405,3.915083096,16833.439,4.179106007,0.009,0.011,0,0.002,0.017,0,0.718,0.217,0.026
66,KOLDA,LINKERING,50,Land with severe soil/terrain limitations,24478.08077,3.991208343,24442.00796,3.979486806,24494.72931,3.985474993,26636.30325,4.328291071,0.002,0.003,0,0.001,0,0,0.835,0.151,0.008
67,KOLDA,MEDINA GOUNASS,50,Land with severe soil/terrain limitations,61461.68066,5.859073466,65000.48045,6.191111577,69356.93166,6.594117861,69746.59471,6.622979272,0.026,0.003,0,0.008,0,0,0.594,0.312,0.057
68,KOLDA,SINTHIANG KOUNDARA,50,Land with severe soil/terrain limitations,38939.38527,3.826966611,40029.83326,3.920265719,40893.4957,3.991556437,43519.21038,4.236683253,0.019,0.008,0,0.003,0.002,0,0.387,0.529,0.052
69,SEDHIOU,BOUNKILING,2,Tropics lowland; semi-arid with soil/terrain limitations,10182.74928,16.45032194,10985.36736,17.74695858,11963.95175,19.1423228,10937.21609,17.27838245,0.015,0,0,0.097,0,0.001,0.773,0.103,0.01
70,TAMBACOUNDA,BOYNGUEL BAMBA,2,Tropics lowland; semi-arid with soil/terrain limitations,17797.91527,1.642783392,18254.24748,1.681644171,19083.04743,1.754117789,20138.06256,1.84448274,0.003,0,0,0.001,0,0,0.008,0.959,0.029
71,TAMBACOUNDA,DOUGUE,50,Land with severe soil/terrain limitations,9025.767559,1.176455626,9348.129966,1.217045953,9473.322123,1.230621216,9791.799011,1.270672075,0.003,0,0,0.001,0,0,0.024,0.957,0.016
72,TAMBACOUNDA,KOUSSAN,2,Tropics lowland; semi-arid with soil/terrain limitations,8250.261908,3.01324394,8270.268058,3.007370203,8684.343466,3.112667909,9345.575821,3.318741414,0.003,0,0,0.001,0,0,0.006,0.959,0.031
73,TAMBACOUNDA,SINTHIOU MAMADOU BOUBOU,2,Tropics lowland; semi-arid with soil/terrain limitations,17885.71142,2.028318374,18109.58406,2.051845011,18359.15066,2.078708182,19227.89478,2.167255949,0.001,0,0,0,0,0,0.001,0.956,0.041
74,ZIGUINCHOR,SANTHIABA MANJACK,2,Tropics lowland; semi-arid with soil/terrain limitations,3359.870176,2.635192295,3314.493387,2.583393131,3149.894263,2.422995587,3431.601947,2.633616229,0,0.15,0.005,0.003,0.151,0,0.389,0.014,0.289
75,ZIGUINCHOR,DIEMBERING,2,Tropics lowland; semi-arid with soil/terrain limitations,21707.42934,4.138690056,22273.98183,4.235402516,22851.90392,4.326373328,22791.81396,4.276137704,0.006,0.399,0.002,0.012,0.155,0,0.212,0.048,0.164
76,SAINT LOUIS,BODE LAO,53,Desert/Arid climate,3468.444533,3.824084381,3557.800882,3.909671299,3561.54012,3.900920175,3803.290115,4.120574339,0,0.071,0.001,0.004,0,0.001,0,0.028,0.89
77,SAINT LOUIS,AERE LAO,53,Desert/Arid climate,12527.7251,9.497896209,14279.26036,10.82582286,15795.54016,11.92116239,14914.56782,11.2562776,0.001,0,0,0.041,0,0,0,0.011,0.943
78,SAINT LOUIS,DOUMGA LAO,53,Desert/Arid climate,40100.21931,2.513332455,40122.11917,2.510613802,39618.50338,2.460623774,41990.03875,2.584002384,0,0.032,0.001,0.001,0,0,0.001,0.017,0.944
79,SAINT LOUIS,MADINA NDIATHBE,53,Desert/Arid climate,32072.85841,2.965590237,32383.87697,2.986340555,34106.93413,3.127928662,35174.94018,3.201505432,0,0.028,0.002,0.002,0,0,0,0.009,0.954
80,SAINT LOUIS,MERY,53,Desert/Arid climate,16398.52662,4.18864026,16420.64907,4.166619911,16437.91264,4.143663383,17125.42545,4.308283131,0,0.022,0.002,0.003,0,0,0,0.006,0.96
81,SAINT LOUIS,GOLLERE,53,Desert/Arid climate,4091.659293,14.15799063,3752.724408,12.98520556,3604.333467,12.4717421,3974.967312,13.75421215,0,0,0.001,0.156,0,0,0,0.013,0.771
82,SAINT LOUIS,MBOUMBA,53,Desert/Arid climate,4627.509094,13.61032087,4740.570336,13.94285393,4939.380207,14.52758885,4775.566145,14.04578278,0,0.002,0,0.128,0,0,0,0.005,0.862
83,SAINT LOUIS,WALALDE,52,Dominantly hydromorphic soils,2562.05573,8.511813055,2528.787448,8.183778147,2680.320199,8.590769867,2617.87212,8.39061577,0,0.049,0.01,0.021,0,0,0,0.009,0.889
84,LOUGA,COKI,53,Desert/Arid climate,21871.10552,3.673963635,23159.96716,3.828726593,23995.37051,3.95115602,24816.58359,4.084362013,0.772,0,0,0.011,0,0,0,0.001,0.216
85,LOUGA,GUET ARDO,53,Desert/Arid climate,8695.274645,2.608060781,9084.406476,2.723143428,9213.54883,2.729131762,9669.436658,2.835611923,0.717,0,0,0.006,0,0,0,0.001,0.275
86,LOUGA,NDIAGNE,2,Tropics lowland; semi-arid with soil/terrain limitations,5652.585712,9.436704026,5672.776584,9.47041166,5980.63148,9.804313901,6052.214415,9.777406163,0.518,0,0,0.075,0,0,0,0.004,0.403
87,LOUGA,PETE OUARACK,53,Desert/Arid climate,6992.851831,3.921958402,7842.92759,4.29749457,8156.319717,4.408821469,8526.7115,4.591659397,0.859,0,0,0.005,0,0,0,0.004,0.132
88,LOUGA,THIAMENE,53,Desert/Arid climate,17910.64841,3.192059956,18477.48716,3.276150206,18948.05906,3.347713616,19681.13496,3.469875697,0.761,0,0,0.005,0,0,0,0,0.234
89,FATICK,COLOBANE,2,Tropics lowland; semi-arid with soil/terrain limitations,26650.81226,2.823777522,28035.60427,2.945225787,28315.1561,2.96400671,28867.05887,3.015781327,0.661,0,0,0.003,0,0,0,0.005,0.331
90,FATICK,MBAR,2,Tropics lowland; semi-arid with soil/terrain limitations,35562.54142,2.190621007,36144.98024,2.2176195,35239.76251,2.154151385,35903.35895,2.180454206,0.675,0,0,0.005,0,0,0,0.011,0.308
91,SAINT LOUIS,DAGANA,53,Desert/Arid climate,22408.32326,23.00649205,23284.74388,23.23826735,24399.3184,24.32633938,22860.80713,22.79242984,0.004,0.108,0.001,0.231,0.002,0.044,0.017,0.149,0.433
92,DAKAR,DAKAR PLATEAU,56,Dominantly built-up land,68198.29569,104.1195354,67710.71602,103.375139,63530.47694,96.99309457,65235.19323,99.59571486,0,0.011,0.005,0.768,0.003,0,0.006,0.002,0.207
93,DAKAR,FANN POINT E AMITIE,56,Dominantly built-up land,60900.45613,107.9795321,60456.57762,107.1925135,57612.84915,102.1504418,59382.38453,105.2879158,0,0.002,0.003,0.89,0.004,0,0.006,0.002,0.092
94,DAKAR,GOREE,56,Dominantly built-up land,997.933917,45.36063259,835.8054857,37.99115844,805.660718,36.62094173,953.554637,43.34339259,0,0.037,0,0.44,0.005,0,0,0.032,0.486
95,DAKAR,GUEULE TAPEE-FASS-COLOBANE,56,Dominantly built-up land,32851.20345,139.7923551,31740.85771,135.0674796,30797.10381,131.0515056,31014.60196,131.9770296,0,0,0.001,0.973,0,0,0,0,0.026
96,DAKAR,MEDINA,56,Dominantly built-up land,44078.66553,148.9144106,42131.51104,142.3361859,41304.03906,139.5406725,41530.18479,140.3046783,0,0,0,0.937,0,0,0,0.003,0.06
97,KEDOUGOU,DAKATELY,50,Land with severe soil/terrain limitations,2960.517174,2.399122507,2903.771978,2.345534716,2984.048777,2.39490271,3178.012468,2.530264704,0,0,0,0.001,0,0,0.555,0.444,0
98,KEDOUGOU,KEVOYE,2,Tropics lowland; semi-arid with soil/terrain limitations,3989.085015,1.899564293,3903.54613,1.856179805,3934.048725,1.862712465,4096.310418,1.939540918,0,0,0,0,0,0,0.608,0.35,0
99,KEDOUGOU,OUBADJI,50,Land with severe soil/terrain limitations,4051.804246,1.630504727,3884.670808,1.56073556,3880.139897,1.555789855,4160.113575,1.651494075,0,0.003,0,0,0.001,0,0.768,0.226,0
100,KEDOUGOU,DAR SALAM,50,Land with severe soil/terrain limitations,4232.052265,1.659628339,4239.144631,1.659156411,4242.287909,1.65005364,4355.056993,1.688661106,0,0.005,0,0,0.002,0,0.683,0.31,0
101,KEDOUGOU,ETHIOLO,50,Land with severe soil/terrain limitations,4592.2909,1.471416501,4595.376846,1.468640731,4657.066681,1.486930613,4726.980104,1.507808646,0,0,0,0,0,0,0.692,0.307,0
102,KAFFRINE,DAROU MINAM,2,Tropics lowland; semi-arid with soil/terrain limitations,28646.1359,2.268102605,28807.21944,2.268642262,29750.33098,2.336841644,31048.83526,2.420584335,0.259,0,0,0.001,0,0,0.001,0.365,0.374
103,KAFFRINE,KHELCOM,2,Tropics lowland; semi-arid with soil/terrain limitations,8405.307321,1.629251274,9158.709503,1.768432034,9590.071331,1.845664228,9834.400098,1.890503671,0.422,0,0,0,0,0,0,0.077,0.5
104,KAFFRINE,NDIOBENE SAMBA LAMO,2,Tropics lowland; semi-arid with soil/terrain limitations,9267.998972,2.256634763,9454.572895,2.28758115,9733.813058,2.344367307,10299.44297,2.457514428,0.184,0,0,0.001,0,0,0,0.647,0.168
105,KAFFRINE,NDIOUM NGAINTH,1,Tropics lowland; semi-arid no soil/terrain limitations,13510.19496,2.698261426,14119.02294,2.787015976,14178.72252,2.779051846,15003.43401,2.903703117,0.251,0,0,0.002,0,0,0,0.525,0.223
106,LOUGA,DAROU MARNANE,2,Tropics lowland; semi-arid with soil/terrain limitations,14118.06343,4.449436945,14606.37088,4.593198389,14966.71798,4.640842783,15098.25169,4.554525397,0.952,0,0,0.008,0,0,0,0.001,0.039
107,LOUGA,DAROU MOUHTY,2,Tropics lowland; semi-arid with soil/terrain limitations,48456.80297,5.222200989,48902.60903,5.254954763,50729.67655,5.437847202,50587.68499,5.370812718,0.947,0,0,0.012,0,0,0,0.002,0.038
108,LOUGA,MBACKE CAJOR,2,Tropics lowland; semi-arid with soil/terrain limitations,7918.821977,4.001425961,8035.335514,4.031778983,8305.193347,4.089213859,8496.708227,4.142714884,0.895,0,0,0.007,0,0,0,0,0.096
109,LOUGA,MBADIANE,2,Tropics lowland; semi-arid with soil/terrain limitations,9717.668689,2.503908449,10070.48797,2.586155102,10410.97704,2.664016644,10920.36123,2.794360601,0.956,0,0,0.003,0,0,0,0.001,0.039
110,LOUGA,NDOYENE,2,Tropics lowland; semi-arid with soil/terrain limitations,8661.224622,3.14382019,8992.293219,3.259258144,8813.666302,3.172666055,9140.403523,3.249343592,0.817,0,0,0.004,0,0,0,0.003,0.175
111,LOUGA,SAM YABAL,2,Tropics lowland; semi-arid with soil/terrain limitations,12489.94269,2.137956639,12598.0797,2.147644,12549.75566,2.138312431,13071.01948,2.227128894,0.876,0,0,0.002,0,0,0,0.003,0.119
112,LOUGA,TOUBA MERINA,2,Tropics lowland; semi-arid with soil/terrain limitations,10577.94775,2.316169861,10526.39648,2.29633431,10261.97639,2.233291924,10640.89592,2.310726584,0.856,0,0,0.003,0,0,0,0.001,0.141
113,DAKAR,DIAMNIADIO,2,Tropics lowland; semi-arid with soil/terrain limitations,170785.9726,24.29042421,193870.0558,27.50710213,213516.2973,30.16192927,217622.8958,30.56501345,0.152,0,0.009,0.116,0,0,0.076,0.35,0.284
114,DAKAR,SEBIKOTANE,2,Tropics lowland; semi-arid with soil/terrain limitations,67097.11221,30.92032821,73100.58681,33.68690636,79060.64717,36.13375099,82367.78582,37.33807154,0.084,0,0.001,0.168,0,0,0.08,0.359,0.304
115,TAMBACOUNDA,BANI ISRAEL,50,Land with severe soil/terrain limitations,10116.06031,1.343612738,10387.3467,1.378180536,10328.72302,1.368767959,10866.08029,1.438644285,0.004,0,0,0.001,0,0,0.061,0.925,0.01
116,TAMBACOUNDA,BOUTOUCOUFARA,50,Land with severe soil/terrain limitations,6622.728537,1.916853412,6947.934966,2.01097973,6830.372445,1.976952951,7079.178244,2.048966207,0.003,0,0,0,0,0,0.311,0.682,0.003
117,TAMBACOUNDA,DIANKE MAKHA,50,Land with severe soil/terrain limitations,11780.54006,1.298560412,12590.11618,1.385661037,12373.52867,1.361074543,12777.61655,1.405523765,0.004,0,0,0,0,0,0.14,0.848,0.007
118,TAMBACOUNDA,KOMOTI,50,Land with severe soil/terrain limitations,10557.09405,2.029820045,10876.33902,2.088390748,10836.98387,2.078838264,11207.77163,2.149553439,0.006,0,0,0,0,0,0.196,0.788,0.01
119,SEDHIOU,DIAMBATI,2,Tropics lowland; semi-arid with soil/terrain limitations,12976.09238,3.17031331,12714.39823,3.07482424,12603.23363,3.024534109,13589.85078,3.254274612,0.014,0,0,0.001,0.001,0,0.934,0.041,0.009
