fid,2021-01_ndvi,2021-02_ndvi,2021-03_ndvi,2021-04_ndvi,2021-05_ndvi,2021-06_ndvi,2021-07_ndvi,2021-08_ndvi,2021-09_ndvi,2021-10_ndvi,2021-11_ndvi,2021-12_ndvi,2022-01_ndvi,2022-02_ndvi,2022-03_ndvi,2022-04_ndvi,2022-05_ndvi,2022-06_ndvi,2022-07_ndvi,2022-08_ndvi,2022-09_ndvi,2022-10_ndvi,2022-11_ndvi,2022-12_ndvi,2023-01_ndvi,2023-02_ndvi,2023-03_ndvi,2023-04_ndvi,2023-05_ndvi,2023-06_ndvi,2023-07_ndvi,2023-08_ndvi,2023-09_ndvi,2023-10_ndvi,2023-11_ndvi,2023-12_ndvi,2024-01_ndvi,2024-02_ndvi,2024-03_ndvi,2024-04_ndvi,2024-05_ndvi,2024-06_ndvi,2024-07_ndvi,2024-08_ndvi,2024-09_ndvi,2024-10_ndvi,2024-11_ndvi,2024-12_ndvi
11,0.263072352,0.231924453,0.214960106,0.206012026,0.192740897,0.218396173,0.448030708,0.65759463,0.707814273,0.604963655,0.441097965,0.283975975,0.252128038,0.220197778,0.204613748,0.199202412,0.198281241,0.288786936,0.495540806,0.705944833,0.720011436,0.458279829,0.441634024,0.303026297,0.262699563,0.232266976,0.228614334,0.217717578,0.202945088,0.200685817,0.370747742,0.640544762,0.737185691,0.602031692,0.412076275,0.282934065,0.254650703,0.225334721,0.208139998,0.197105357,0.197826261,0.183897022,0.26839447,0.510974253,0.741255447,0.684833521,0.369570888,0.312263548
12,0.216326199,0.196161262,0.183821656,0.175550844,0.16233625,0.184441612,0.351090932,0.42475799,0.338080037,0.244664726,0.228762744,0.214007074,0.206120909,0.189446806,0.180112979,0.169340799,0.193299072,0.228423554,0.279210268,0.464833544,0.425343896,0.343914793,0.322894782,0.253179616,0.233511732,0.212517004,0.19796498,0.188006827,0.186980061,0.263824181,0.330156248,0.401021752,0.404466594,0.258708912,0.214410985,0.206111069,0.199706514,0.182357333,0.176106905,0.176764877,0.168711852,0.168137708,0.255445842,0.31482776,0.340498385,0.267731236,0.225809725,0.217898988
13,0.405128871,0.332083125,0.29615698,0.307240476,0.406607222,0.662381612,0.781622054,0.809798496,0.822761039,0.708395026,0.688557396,0.52604193,0.401450229,0.330741682,0.295630079,0.333643102,0.397093752,0.66466413,0.758347557,0.774931579,0.804092015,0.706859044,0.701225303,0.491756793,0.412615696,0.34368462,0.310554186,0.321745364,0.45946494,0.667261909,0.753058755,0.827977612,0.836011619,0.699888903,0.655600557,0.503611912,0.3852147,0.313827463,0.289119241,0.296968646,0.346503532,0.537029925,0.70545407,0.760349398,0.80921566,0.739889822,0.639127665,0.49718399
14,0.267662973,0.227141457,0.218801325,0.208132589,0.193745789,0.218363082,0.288562834,0.505447032,0.627115386,0.502722867,0.414058705,0.314034802,0.280826355,0.243625672,0.22130307,0.211440289,0.218867268,0.199060856,0.395636273,0.498226944,0.6257486,0.469169865,0.440329136,0.326773717,0.292385612,0.25689875,0.236687651,0.220892876,0.218723582,0.204585575,0.318371276,0.620309811,0.637841664,0.545437983,0.435583655,0.30295945,0.285349569,0.254794263,0.228749499,0.208047364,0.209363664,0.197113875,0.333676315,0.546985925,0.587561308,0.486440901,0.355965222,0.301321245
15,0.274503749,0.245946875,0.229678895,0.219341345,0.209972302,0.249309284,0.364484887,0.504376737,0.488534313,0.381032098,0.339489211,0.30449645,0.289231385,0.261033093,0.24155797,0.22295042,0.214199931,0.218718523,0.244206024,0.44847922,0.524783406,0.373869159,0.363816645,0.316653105,0.290441721,0.263230798,0.248127975,0.232180838,0.224459127,0.224297099,0.388905913,0.54293851,0.548569358,0.444040654,0.38398514,0.30870795,0.291882154,0.25500795,0.242361777,0.229212102,0.220408177,0.209993002,0.273807351,0.471238542,0.53035799,0.466749354,0.338119308,0.315140857
16,0.323348695,0.280512808,0.249265171,0.247240044,0.226645659,0.343842679,0.508776038,0.639867474,0.668314704,0.593727649,0.494788038,0.381090297,0.297657371,0.259847994,0.230330548,0.228018604,0.236917847,0.453887956,0.569727274,0.633734973,0.632963074,0.561230191,0.568901703,0.401818316,0.333033208,0.280769884,0.260708338,0.247007606,0.239094254,0.435819324,0.509218022,0.692430654,0.672234147,0.589323324,0.535424964,0.386394692,0.304367005,0.260608933,0.240476632,0.227253039,0.248178604,0.273623105,0.461008469,0.540339199,0.677108664,0.614760607,0.501808407,0.375237033
17,0.307390195,0.27363887,0.252134568,0.241479519,0.230922214,0.270644923,0.504966229,0.643322535,0.597345593,0.525173824,0.430680803,0.319872962,0.292280061,0.270206118,0.247569926,0.246918793,0.253718591,0.398207613,0.463848987,0.644015069,0.637737283,0.521132762,0.519697203,0.368984454,0.311557828,0.280107695,0.279397478,0.272051252,0.248117472,0.253708814,0.392393195,0.633038577,0.658844428,0.496415876,0.44188649,0.334205998,0.297889058,0.281592818,0.261732918,0.244689847,0.252325745,0.236151738,0.379785307,0.608806934,0.672557489,0.597760965,0.399065743,0.351372641
18,0.347039239,0.304367264,0.273067436,0.283811458,0.308467929,0.614664282,0.785172054,0.821057479,0.805145143,0.737831456,0.677919709,0.514239891,0.327207775,0.281927511,0.280376676,0.288559289,0.365536687,0.621826463,0.790617252,0.681597914,0.810931875,0.723590283,0.674588129,0.424167359,0.355065672,0.299549761,0.300255243,0.308276152,0.358573348,0.692593402,0.716099765,0.852396268,0.821391494,0.725315075,0.60111378,0.479913827,0.318790385,0.295349922,0.269519214,0.27453502,0.330665453,0.597945444,0.787243299,0.849632196,0.820686567,0.730639541,0.650818439,0.437925498
19,0.212638277,0.196626471,0.172697302,0.165890462,0.155898757,0.169536398,0.221707368,0.342987795,0.321119292,0.23949125,0.227725323,0.211234222,0.199658055,0.183668877,0.17478321,0.164019283,0.173138258,0.192646926,0.226105258,0.399546797,0.376215299,0.261881415,0.26339366,0.242168022,0.235744393,0.216793582,0.199800078,0.18772612,0.176754383,0.186441779,0.244795329,0.335510599,0.322635814,0.231126838,0.21588739,0.202776674,0.192165278,0.177292233,0.16951277,0.163960966,0.158919323,0.173673893,0.275475347,0.365873887,0.296654554,0.232192588,0.207916743,0.205739045
20,0.234068005,0.214025605,0.186618599,0.177982084,0.165525236,0.177413455,0.22372084,0.352743189,0.336743012,0.249443018,0.239691829,0.220956662,0.208175477,0.190808949,0.183026862,0.172416629,0.180239271,0.196183958,0.236330433,0.395960453,0.365746092,0.287730368,0.285652258,0.259022319,0.258796766,0.235118523,0.215905622,0.205462724,0.195061964,0.205383927,0.253663315,0.328571755,0.331602823,0.23982051,0.223498266,0.209484914,0.201400008,0.186771671,0.179205829,0.174444946,0.168369134,0.176810235,0.288528768,0.381442078,0.284856452,0.250124143,0.223908263,0.226302243
21,0.21917197,0.204990411,0.190322289,0.18633636,0.175914697,0.183942723,0.187390333,0.277959101,0.244216859,0.213528834,0.228531189,0.215904774,0.200192561,0.189059598,0.185987529,0.178136313,0.178652024,0.18201513,0.199054566,0.268754508,0.256819151,0.235732535,0.260502636,0.233455186,0.228272238,0.215150595,0.207430663,0.199249978,0.197098912,0.191423335,0.213308533,0.25723511,0.28598211,0.238685487,0.231934569,0.207124641,0.195923519,0.189121017,0.184816884,0.178600103,0.172768117,0.16558621,0.219558886,0.252548004,0.18427208,0.205616932,0.20428344,0.208377194
22,0.200320955,0.186299192,0.168883598,0.164025547,0.155379451,0.168424637,0.229172843,0.396758337,0.33975726,0.247661584,0.228240777,0.207933528,0.197549935,0.182881804,0.174475242,0.164569104,0.188642629,0.215992939,0.244308375,0.471368816,0.439296615,0.276759561,0.270261877,0.240257257,0.223820481,0.206903756,0.196185418,0.187859147,0.1780536,0.208244378,0.277621506,0.411043494,0.382075838,0.253798041,0.223626922,0.204158022,0.192373861,0.17896818,0.172447339,0.167460147,0.162533623,0.181273626,0.31816087,0.439660532,0.364777396,0.271602107,0.225459494,0.212123814
23,0.262939268,0.237390509,0.197947689,0.186716252,0.177378824,0.185766718,0.257429701,0.390074756,0.338824133,0.255524348,0.236043431,0.225178854,0.219641894,0.203059669,0.192544679,0.182808724,0.192162085,0.2054067,0.252057014,0.364861933,0.309246216,0.285965525,0.285580047,0.270006473,0.276936843,0.248977771,0.221270411,0.210096733,0.201830376,0.213949223,0.274373168,0.383885162,0.339319421,0.241113041,0.224207884,0.219602646,0.219392533,0.198526462,0.190584683,0.185665066,0.179186811,0.189370377,0.321365713,0.356344713,0.182452937,0.219090167,0.221512738,0.235328464
24,0.167415521,0.140193768,0.14575583,0.138088499,0.130733177,0.166900601,0.181002502,0.231478194,0.252877438,0.227911287,0.216330788,0.190132298,0.180860439,0.158312244,0.141554646,0.128616194,0.143076418,0.172573145,0.172217961,0.210924967,0.249125721,0.273554614,0.339006922,0.226340053,0.189197374,0.186042189,0.164366834,0.151713504,0.149309104,0.206372138,0.15152502,0.234258875,0.30805638,0.231790696,0.229873348,0.208599681,0.203085224,0.162737317,0.150395896,0.14965158,0.155520025,0.222371109,0.189336786,0.212816745,0.218436999,0.258792533,0.227090363,0.245898054
25,0.195082873,0.181638065,0.139135475,0.145849339,0.108122059,0.169949409,0.158811619,0.239752604,0.299746051,0.252062434,0.259400283,0.211498325,0.224758806,0.183630922,0.14293483,0.139992331,0.149367062,0.133133951,0.193658089,0.207007264,0.238400898,0.325504167,0.30696373,0.245814548,0.246596361,0.155546865,0.1588068,0.175063159,0.148970443,0.202810241,0.182253048,0.210424487,0.322512068,0.218797412,0.23091581,0.269370786,0.228342472,0.195214295,0.159350553,0.172782272,0.142660739,0.140036017,0.166309411,0.232720176,0.263596282,0.246414453,0.258864291,0.22603216
26,0.178156064,0.168441297,0.152475693,0.146455068,0.11919387,0.155828347,0.181206689,0.31431493,0.365223905,0.310080335,0.269656965,0.219915758,0.194916592,0.173098542,0.141816717,0.134941464,0.153070926,0.142032826,0.179541259,0.255089613,0.302555287,0.338118749,0.333734002,0.246126944,0.221892084,0.160258775,0.164189125,0.152654017,0.147867763,0.165392534,0.158601546,0.272197455,0.39677531,0.276002852,0.273927592,0.222350177,0.197208173,0.177065073,0.16950778,0.14936341,0.145291213,0.169432924,0.165089647,0.240381644,0.296448873,0.317649319,0.245130282,0.266047683
27,0.207747909,0.172701723,0.147861144,0.141458054,0.120392447,0.149828953,0.184632889,0.340985759,0.357565104,0.305098541,0.282343807,0.217390209,0.201459867,0.16734733,0.141444584,0.13524953,0.133463565,0.120712307,0.177138712,0.288234139,0.355315895,0.375337724,0.324161116,0.238695084,0.232915353,0.164909939,0.16219623,0.145511954,0.151356001,0.169970955,0.156513744,0.303679312,0.398539275,0.300767976,0.268768385,0.217008715,0.18671382,0.170852956,0.1592618,0.144474512,0.138120836,0.13157441,0.199728569,0.29954032,0.342012925,0.31656848,0.246299523,0.232681585
28,0.248421906,0.228511974,0.213703838,0.204950094,0.187111272,0.193309382,0.277432416,0.379586166,0.333799498,0.234663823,0.230354074,0.219830722,0.221825868,0.21070542,0.205730208,0.191475396,0.18793104,0.231819243,0.214469219,0.411820513,0.396850242,0.331552439,0.341321499,0.275109908,0.252932629,0.240481702,0.231503419,0.218541344,0.211097337,0.20477572,0.295912594,0.368203118,0.366497195,0.24609181,0.241684123,0.222788533,0.225816645,0.210019119,0.205751234,0.196366852,0.190231318,0.171932145,0.26210953,0.382628076,0.362080054,0.252028903,0.219137341,0.236423595
29,0.265874236,0.239991143,0.224384811,0.21696852,0.20685106,0.24528752,0.374877648,0.550875147,0.508942216,0.363271719,0.310350939,0.266991721,0.249308208,0.229100724,0.217102411,0.206569472,0.19655156,0.215497179,0.288794834,0.507442768,0.615635613,0.392414132,0.376659948,0.299815819,0.269901847,0.246959811,0.227826591,0.219921158,0.210076585,0.215381663,0.28174613,0.52269634,0.58728017,0.427148817,0.322956176,0.266052901,0.257357899,0.225303716,0.214734015,0.203641838,0.193798442,0.184086781,0.320374546,0.56658536,0.670455731,0.586140409,0.36526729,0.32967613
30,0.281045474,0.252029288,0.235563225,0.229742287,0.22054472,0.274929382,0.41982962,0.590497772,0.549875181,0.372621849,0.330600756,0.277383285,0.260655514,0.23875318,0.228054369,0.21676194,0.211137541,0.253892713,0.384356857,0.540803725,0.623057593,0.404463185,0.378266125,0.30633021,0.277120662,0.251823969,0.235981738,0.233400858,0.221927586,0.230293338,0.235428822,0.484903977,0.587436592,0.488009084,0.375338959,0.27968418,0.26727814,0.235327532,0.224959856,0.215783588,0.207878048,0.196322456,0.347023139,0.578195341,0.684258972,0.630739356,0.376310687,0.334304472
31,0.257718017,0.236282507,0.219252199,0.212908557,0.202244258,0.227872844,0.407254787,0.568656789,0.532985173,0.361097439,0.326634808,0.276575992,0.259158685,0.237388507,0.224083594,0.214227061,0.200470626,0.20505914,0.240472892,0.478672962,0.609985746,0.408083194,0.394253789,0.303580753,0.270231018,0.251767802,0.232603876,0.222579044,0.212443859,0.22256307,0.341757751,0.573540515,0.622207739,0.453317424,0.327999787,0.2765605,0.265605105,0.235263527,0.224643785,0.212607859,0.2020467,0.195054548,0.311093677,0.532852899,0.646070631,0.551210651,0.34629921,0.315872145
32,0.306106607,0.270728068,0.246560187,0.252781885,0.236140492,0.437013495,0.643745559,0.788175292,0.761278915,0.579161455,0.480644878,0.328573591,0.309647763,0.278450966,0.249535404,0.253754618,0.314449017,0.6312696,0.743206829,0.757415406,0.74293654,0.609412854,0.528235911,0.361071214,0.329449692,0.302267367,0.28049016,0.287309773,0.289436523,0.459301857,0.61822139,0.787446108,0.767642656,0.493539157,0.421022782,0.32444321,0.305107581,0.272309476,0.254399324,0.262176681,0.286369274,0.288771141,0.547513246,0.761407519,0.811250395,0.654911844,0.373149558,0.315818228
33,0.350879054,0.300283497,0.265380465,0.285654637,0.263940044,0.423859731,0.662967474,0.805293252,0.795154025,0.652642269,0.574556736,0.377850348,0.328698082,0.292494142,0.266471415,0.269813031,0.373572348,0.611577912,0.784533216,0.770961047,0.755256873,0.661198769,0.596925042,0.383895601,0.358094164,0.319136847,0.304944214,0.318857954,0.322135625,0.504169713,0.655845732,0.790699738,0.792785597,0.600550833,0.544988228,0.356655279,0.3060553,0.274526668,0.258839748,0.264101334,0.299238779,0.333380736,0.605549101,0.750672576,0.782033477,0.660283934,0.506619894,0.373460444
34,0.30312578,0.269877479,0.247564878,0.261595887,0.247638567,0.374156894,0.634330701,0.772515722,0.770584439,0.61239925,0.522287016,0.32793322,0.299851164,0.269091517,0.246394181,0.254747712,0.317277016,0.560975102,0.704481848,0.764829454,0.758910692,0.620262481,0.543164185,0.334262878,0.317928624,0.290632266,0.270768222,0.276417165,0.278740615,0.43280808,0.607745332,0.772856197,0.793430545,0.588537819,0.49371557,0.329363454,0.290350028,0.261695727,0.248899137,0.255542921,0.275832085,0.259218651,0.519925982,0.72853217,0.795375999,0.645512619,0.440324688,0.333880211
35,0.300560935,0.265542567,0.241679937,0.253003436,0.245669104,0.315132633,0.541362802,0.697638024,0.738132826,0.60253562,0.494357186,0.328674073,0.288048474,0.253316517,0.231948554,0.236442024,0.248516183,0.424987423,0.579031847,0.692089933,0.733205439,0.560342837,0.514311268,0.365491703,0.316729373,0.270029978,0.268966546,0.271589813,0.26711895,0.365183699,0.609634384,0.703166778,0.784038599,0.561421827,0.427376934,0.312041354,0.281422841,0.250485001,0.236847502,0.228954719,0.243230857,0.239822474,0.371320777,0.66132396,0.780022565,0.655073697,0.415703281,0.331152448
36,0.28938434,0.258331391,0.228138915,0.22849317,0.223627298,0.29786505,0.520055573,0.702476025,0.729746504,0.578169026,0.465302269,0.316288712,0.283174469,0.24835105,0.225503818,0.22467016,0.225416796,0.433066654,0.623273529,0.742692489,0.73143454,0.573588867,0.436756868,0.334485052,0.301495685,0.252069012,0.253925691,0.250400986,0.246692063,0.306380337,0.420455579,0.67594965,0.762149879,0.48160208,0.385772299,0.288023391,0.263639937,0.234409105,0.218248819,0.211891934,0.210923074,0.211393574,0.389090848,0.684602823,0.750474788,0.63454054,0.393795857,0.315842619
37,0.279965753,0.248916838,0.225840771,0.22565377,0.222414306,0.296074488,0.520186667,0.709352053,0.727463298,0.578747119,0.463577245,0.312928355,0.269399971,0.23903514,0.216584073,0.211341058,0.220315545,0.398201665,0.574986862,0.717428757,0.728676103,0.518656337,0.471289247,0.337570528,0.285369087,0.241733697,0.242147192,0.238096258,0.2322881,0.318089104,0.514583009,0.71170114,0.763538019,0.511105234,0.389106666,0.288645858,0.260194699,0.232178504,0.216930315,0.208779032,0.211178986,0.210618576,0.346195336,0.626480065,0.753399734,0.641982682,0.397624309,0.3001903
38,0.284894032,0.250246253,0.225805258,0.22763926,0.220817789,0.331080544,0.555048426,0.726501001,0.741551297,0.588505694,0.494518392,0.319194964,0.280455275,0.246973728,0.22306178,0.224341062,0.227189948,0.418916577,0.588777423,0.726856008,0.742400294,0.566048126,0.492980587,0.346594856,0.30055109,0.253493593,0.248558155,0.244975927,0.244035681,0.317409112,0.504867419,0.727820372,0.792191249,0.522092864,0.392935684,0.296986301,0.267565352,0.235374526,0.21857836,0.214848921,0.219593622,0.218854934,0.380724795,0.696364099,0.776581151,0.63282533,0.40450608,0.321166272
39,0.271947548,0.249716995,0.230929256,0.226419927,0.223858737,0.245017118,0.310055543,0.474423083,0.469821655,0.391046721,0.366317907,0.284054726,0.270388491,0.243725329,0.22959597,0.220927039,0.221659226,0.234266366,0.46061708,0.508748985,0.539855806,0.384596806,0.397697614,0.303020021,0.27035931,0.250634216,0.237680665,0.237997651,0.227260015,0.234762927,0.375290643,0.539903345,0.557042118,0.454560475,0.368880271,0.287533822,0.270515013,0.248039572,0.239907328,0.233386575,0.226364158,0.218828767,0.293458935,0.516060729,0.532406238,0.473147651,0.340816441,0.306346571
40,0.319476944,0.272461227,0.243635781,0.231491999,0.210859165,0.241976024,0.340788497,0.616571115,0.713532576,0.602408331,0.482195321,0.361708427,0.327971592,0.276255032,0.249114985,0.226730925,0.220582825,0.20840664,0.46762203,0.682052287,0.716941696,0.55935267,0.505393417,0.380877848,0.348429029,0.29614375,0.27565048,0.248628388,0.239372574,0.235228836,0.378242713,0.659867974,0.755449242,0.690568099,0.538893667,0.365605824,0.332417546,0.290448334,0.259666166,0.239616282,0.233120642,0.216358852,0.387635759,0.675956217,0.65743882,0.614648009,0.437804598,0.368135836
41,0.373703765,0.305366748,0.285514349,0.299704185,0.350302159,0.609591058,0.748476735,0.773611324,0.761650182,0.676738889,0.643847004,0.485759098,0.365453474,0.292150429,0.288575149,0.311043604,0.40649942,0.657688925,0.785462906,0.756210221,0.737579643,0.6573859,0.61026529,0.431208272,0.373129883,0.292520845,0.298618884,0.315072306,0.371113325,0.661994064,0.69154452,0.768277246,0.759143908,0.664098873,0.600831816,0.472846401,0.354836632,0.300165301,0.273896359,0.291871408,0.35616576,0.598930627,0.704391774,0.796621604,0.774670605,0.675599274,0.541659491,0.463902709
42,0.383586461,0.312518201,0.290668903,0.303235348,0.384834747,0.650780939,0.765791378,0.786906945,0.795888238,0.713100602,0.675416525,0.512385443,0.384436722,0.304299399,0.311884485,0.318752481,0.387860801,0.688685287,0.796141245,0.793276715,0.759462729,0.666384814,0.611541742,0.432820967,0.37669889,0.308396381,0.318326166,0.346255636,0.399608956,0.697921441,0.752993832,0.794582473,0.80393066,0.691184752,0.644570485,0.496576818,0.372009916,0.315874748,0.287986568,0.303678595,0.398509966,0.612224254,0.731851125,0.811888705,0.80023624,0.708769633,0.602934232,0.47768929
43,0.419398421,0.309082385,0.296623427,0.314163325,0.34279625,0.621249901,0.752139914,0.788922522,0.80062851,0.701980398,0.673513786,0.538088454,0.403152651,0.300608753,0.295635416,0.316749666,0.404923961,0.67536788,0.72684476,0.730200347,0.782199673,0.688657945,0.673970776,0.487566149,0.394637746,0.299824505,0.297135671,0.313212672,0.349913386,0.667968045,0.7217325,0.78215571,0.823976778,0.684687204,0.641884755,0.523940488,0.36990492,0.303684033,0.282955082,0.286594177,0.351515759,0.563661988,0.713432472,0.738292226,0.79765219,0.709674631,0.638228433,0.515731789
44,0.357795791,0.282073097,0.268765898,0.284570723,0.307369729,0.593221888,0.772759596,0.796778414,0.796929263,0.705087634,0.671980404,0.525731662,0.36462322,0.28224966,0.269066283,0.293995234,0.421272489,0.695668495,0.737754148,0.728649623,0.77264289,0.666949034,0.660003517,0.435269948,0.358675543,0.280610032,0.280112968,0.295490449,0.349181875,0.677247098,0.716618953,0.778947944,0.792254669,0.68264076,0.632636636,0.486125605,0.345864966,0.287944642,0.265201483,0.280883393,0.342935238,0.554575383,0.7076674,0.820036223,0.787098579,0.698686971,0.632001828,0.496876835
